problem,algorithm,dataset,problem_size,algorithm_time(ms),total_time(ms)
set_coverage,PURE_PYTHON,example.dat,9,0:00:00.001001,0:00:00.002002
set_coverage,PURE_PYTHON,accidents.dat,340183,0:00:52.746379,0:00:52.747403
set_coverage,PURE_PYTHON,chess.dat,3196,0:00:00.361038,0:00:00.362037
set_coverage,PURE_PYTHON,chess_small.dat,221,0:00:00.024998,0:00:00.025998
set_coverage,PURE_PYTHON,mushroom.dat,8124,0:00:00.687033,0:00:00.688033
set_coverage,PURE_PYTHON,pumsb.dat,49046,0:00:11.200046,0:00:11.201046
set_coverage,PURE_PYTHON,retail.dat,88162,0:00:06.304997,0:00:06.305997
set_coverage,FULL_SPARK,example.dat,9,0:00:20.111639,0:00:23.387831
set_coverage,FULL_SPARK,accidents.dat,340183,0:00:41.360739,0:00:44.844221
set_coverage,FULL_SPARK,chess.dat,3196,0:00:20.940812,0:00:24.298199
set_coverage,FULL_SPARK,chess_small.dat,221,0:00:20.228294,0:00:23.569636
set_coverage,FULL_SPARK,mushroom.dat,8124,0:00:20.701621,0:00:23.985707
set_coverage,FULL_SPARK,pumsb.dat,49046,0:00:24.228926,0:00:27.518037
set_coverage,FULL_SPARK,retail.dat,88162,0:00:23.235363,0:00:26.513468
set_coverage,INTERMEDIATE_COLLECT,example.dat,9,0:00:16.952332,0:00:20.241063
set_coverage,INTERMEDIATE_COLLECT,accidents.dat,340183,0:01:05.932945,0:01:09.210834
set_coverage,INTERMEDIATE_COLLECT,chess.dat,3196,0:00:17.836957,0:00:21.116913
set_coverage,INTERMEDIATE_COLLECT,chess_small.dat,221,0:00:17.205963,0:00:20.471219
set_coverage,INTERMEDIATE_COLLECT,mushroom.dat,8124,0:00:17.847539,0:00:21.142671
set_coverage,INTERMEDIATE_COLLECT,pumsb.dat,49046,0:00:24.432855,0:00:27.715339
set_coverage,INTERMEDIATE_COLLECT,retail.dat,88162,0:00:22.082439,0:00:25.367990
set_coverage,CONFIG,example.dat,9,0:00:10.953569,0:00:14.245316
set_coverage,CONFIG,accidents.dat,340183,0:01:02.800577,0:01:06.077679
set_coverage,CONFIG,chess.dat,3196,0:00:10.958454,0:00:14.211169
set_coverage,CONFIG,chess_small.dat,221,0:00:10.892748,0:00:14.152168
set_coverage,CONFIG,mushroom.dat,8124,0:00:11.217259,0:00:14.488408
set_coverage,CONFIG,pumsb.dat,49046,0:00:18.080906,0:00:21.355754
set_coverage,CONFIG,retail.dat,88162,0:00:15.746854,0:00:19.007439
set_coverage,SINGLE_PARTITION,example.dat,9,0:00:08.356557,0:00:11.638288
